Customer Name,Date,Week,Actual Orders,Forecast Orders
METAL CONTAINER CORP - NA,2023-11-20 00:00:00,47,9,130
NOVOLEX - NA,2023-11-20 00:00:00,47,28,65
PACKAGING SPECIALTIE - NA,2023-11-20 00:00:00,47,0,60
PEEL PLASTIC PRODUCT - NA,2023-11-20 00:00:00,47,4,32
PROCTER & GAMBLE - EU,2023-11-20 00:00:00,47,123,73
THE FERRERO GROUP - NA,2023-11-20 00:00:00,47,21,70
3M - NA,2023-11-13 00:00:00,46,57,125
BEIERSDORF INCORPORATED - EU,2023-11-13 00:00:00,46,137,150
BROWN FORMAN CORPORATION - NA,2023-11-13 00:00:00,46,106,40
CONAGRA - NA,2023-11-13 00:00:00,46,156,75
DANONE - EU,2023-11-13 00:00:00,46,71,90
HALEON - EU,2023-11-13 00:00:00,46,197,110
HALEON - NA,2023-11-13 00:00:00,46,33,54
INTERNATIONAL PAPER - NA,2023-11-13 00:00:00,46,12,35
JDE - EU,2023-11-13 00:00:00,46,77,27
METAL CONTAINER CORP - NA,2023-11-13 00:00:00,46,11,160
NOVOLEX - NA,2023-11-13 00:00:00,46,55,65
PACKAGING SPECIALTIE - NA,2023-11-13 00:00:00,46,0,58
PEEL PLASTIC PRODUCT - NA,2023-11-13 00:00:00,46,1,34
PROCTER & GAMBLE - EU,2023-11-13 00:00:00,46,223,107
THE FERRERO GROUP - NA,2023-11-13 00:00:00,46,51,65
3M - NA,2023-11-06 00:00:00,45,83,140
BEIERSDORF INCORPORATED - EU,2023-11-06 00:00:00,45,93,150
BROWN FORMAN CORPORATION - NA,2023-11-06 00:00:00,45,88,40
CONAGRA - NA,2023-11-06 00:00:00,45,109,75
DANONE - EU,2023-11-06 00:00:00,45,42,92
HALEON - EU,2023-11-06 00:00:00,45,147,110
HALEON - NA,2023-11-06 00:00:00,45,33,76
INTERNATIONAL PAPER - NA,2023-11-06 00:00:00,45,9,35
JDE - EU,2023-11-06 00:00:00,45,37,45
METAL CONTAINER CORP - NA,2023-11-06 00:00:00,45,12,146
NOVOLEX - NA,2023-11-06 00:00:00,45,54,75
PACKAGING SPECIALTIE - NA,2023-11-06 00:00:00,45,2,50
PEEL PLASTIC PRODUCT - NA,2023-11-06 00:00:00,45,5,48
PROCTER & GAMBLE - EU,2023-11-06 00:00:00,45,141,107
THE FERRERO GROUP - NA,2023-11-06 00:00:00,45,44,65
3M - NA,2023-10-30 00:00:00,44,53,160
BEIERSDORF INCORPORATED - EU,2023-10-30 00:00:00,44,59,150
BROWN FORMAN CORPORATION - NA,2023-10-30 00:00:00,44,21,40
CONAGRA - NA,2023-10-30 00:00:00,44,105,75
DANONE - EU,2023-10-30 00:00:00,44,37,92
HALEON - EU,2023-10-30 00:00:00,44,148,144
HALEON - NA,2023-10-30 00:00:00,44,26,57
INTERNATIONAL PAPER - NA,2023-10-30 00:00:00,44,15,35
JDE - EU,2023-10-30 00:00:00,44,49,45
METAL CONTAINER CORP - NA,2023-10-30 00:00:00,44,24,140
NOVOLEX - NA,2023-10-30 00:00:00,44,50,75
PACKAGING SPECIALTIE - NA,2023-10-30 00:00:00,44,0,42
PEEL PLASTIC PRODUCT - NA,2023-10-30 00:00:00,44,8,50
PROCTER & GAMBLE - EU,2023-10-30 00:00:00,44,164,116
THE FERRERO GROUP - NA,2023-10-30 00:00:00,44,18,70
3M - NA,2023-10-23 00:00:00,43,83,150
BEIERSDORF INCORPORATED - EU,2023-10-23 00:00:00,43,210,150
BROWN FORMAN CORPORATION - NA,2023-10-23 00:00:00,43,52,40
CONAGRA - NA,2023-10-23 00:00:00,43,102,82
DANONE - EU,2023-10-23 00:00:00,43,78,82
HALEON - EU,2023-10-23 00:00:00,43,213,160
HALEON - NA,2023-10-23 00:00:00,43,50,24
INTERNATIONAL PAPER - NA,2023-10-23 00:00:00,43,24,34
JDE - EU,2023-10-23 00:00:00,43,58,45
METAL CONTAINER CORP - NA,2023-10-23 00:00:00,43,7,155
NOVOLEX - NA,2023-10-23 00:00:00,43,49,70
PACKAGING SPECIALTIE - NA,2023-10-23 00:00:00,43,13,48
PEEL PLASTIC PRODUCT - NA,2023-10-23 00:00:00,43,3,34
PROCTER & GAMBLE - EU,2023-10-23 00:00:00,43,267,202
THE FERRERO GROUP - NA,2023-10-23 00:00:00,43,15,65
3M - NA,2023-10-16 00:00:00,42,113,250
BEIERSDORF INCORPORATED - EU,2023-10-16 00:00:00,42,45,150
BROWN FORMAN CORPORATION - NA,2023-10-16 00:00:00,42,121,45
CONAGRA - NA,2023-10-16 00:00:00,42,60,68
DANONE - EU,2023-10-16 00:00:00,42,56,82
HALEON - EU,2023-10-16 00:00:00,42,115,160
HALEON - NA,2023-10-16 00:00:00,42,103,31
INTERNATIONAL PAPER - NA,2023-10-16 00:00:00,42,22,34
JDE - EU,2023-10-16 00:00:00,42,83,50
METAL CONTAINER CORP - NA,2023-10-16 00:00:00,42,15,140
NOVOLEX - NA,2023-10-16 00:00:00,42,77,65
PACKAGING SPECIALTIE - NA,2023-10-16 00:00:00,42,1,57
PEEL PLASTIC PRODUCT - NA,2023-10-16 00:00:00,42,10,34
PROCTER & GAMBLE - EU,2023-10-16 00:00:00,42,199,215
THE FERRERO GROUP - NA,2023-10-16 00:00:00,42,33,65
3M - NA,2023-10-09 00:00:00,41,115,225
BEIERSDORF INCORPORATED - EU,2023-10-09 00:00:00,41,401,150
BROWN FORMAN CORPORATION - NA,2023-10-09 00:00:00,41,78,45
CONAGRA - NA,2023-10-09 00:00:00,41,106,96
