Customer Name,Date,Orders
ASTRA ZENECA,2023-11-13 00:00:00,71
ATTINDAS,2023-11-13 00:00:00,0
BEIERSDORF INCORPORATED,2023-11-13 00:00:00,137
BEMIS ELSHAM LTD,2023-11-13 00:00:00,6
BISCHOF & KLEIN,2023-11-13 00:00:00,0
BORAN MOPACK,2023-11-13 00:00:00,1
BORAN PLASTIC PACKAGING LTD,2023-11-13 00:00:00,0
BRAYFORD PLASTICS LTD,2023-11-13 00:00:00,0
BRITISH POLYTHENE IND PLC,2023-11-13 00:00:00,9
CARAMBAR & CO SAS,2023-11-13 00:00:00,7
COCA COLA,2023-11-13 00:00:00,189
Covis Pharma GmbH,2023-11-13 00:00:00,4
DANONE,2023-11-13 00:00:00,70
DS SMITH,2023-11-13 00:00:00,0
ELIF PLASTIK AMBALAJ SANAYI,2023-11-13 00:00:00,0
EMERGENT,2023-11-13 00:00:00,0
EMSUR MADRID,2023-11-13 00:00:00,0
EUGENE PERMA,2023-11-13 00:00:00,0
EUROFLEX,2023-11-13 00:00:00,0
Euroscatola,2023-11-13 00:00:00,0
EVERGREEN,2023-11-13 00:00:00,31
EVERRIS LIMITED,2023-11-13 00:00:00,0
EYEVANCE PHARMACEUTICALS,2023-11-13 00:00:00,0
FLEXOPLAST,2023-11-13 00:00:00,0
FOUR04 PACKAGING LTD,2023-11-13 00:00:00,0
FRANPRIX,2023-11-13 00:00:00,3
FRIGEMO,2023-11-13 00:00:00,0
Froneri,2023-11-13 00:00:00,15
GBFOODS,2023-11-13 00:00:00,11
GLACES THIRIET,2023-11-13 00:00:00,2
GREEN ISLE FOODS,2023-11-13 00:00:00,0
HALEON,2023-11-13 00:00:00,196
Herta,2023-11-13 00:00:00,0
HEWLETT PACKARD,2023-11-13 00:00:00,12
Horizon Pharma Ireland Ltd,2023-11-13 00:00:00,6
HOVIS LTD,2023-11-13 00:00:00,0
INTERFLEX GROUP INC,2023-11-13 00:00:00,0
IRISH FLEXIBLE PACKAGING LTD,2023-11-13 00:00:00,0
JDE,2023-11-13 00:00:00,77
KELLOGG COMPANY,2023-11-13 00:00:00,29
KERRY INC,2023-11-13 00:00:00,9
KIBAR GROUP,2023-11-13 00:00:00,0
LACTALIS,2023-11-13 00:00:00,5
LOREAL,2023-11-13 00:00:00,0
LVMH,2023-11-13 00:00:00,15
MACKLE PET FOODS,2023-11-13 00:00:00,0
"MARS, INC.",2023-11-13 00:00:00,238
MAZDA,2023-11-13 00:00:00,0
MCCAIN FOODS,2023-11-13 00:00:00,2
MERCADONA,2023-11-13 00:00:00,0
MILLER/COORS,2023-11-13 00:00:00,0
"ModernaTX, Inc.",2023-11-13 00:00:00,26
MONDELEZ,2023-11-13 00:00:00,101
MONDI PACKAGING,2023-11-13 00:00:00,0
MOUSLINE,2023-11-13 00:00:00,6
NATIONAL PKG CORPORATION LTD,2023-11-13 00:00:00,1
NESTLE,2023-11-13 00:00:00,178
NISSAN,2023-11-13 00:00:00,0
ORKLA,2023-11-13 00:00:00,53
PAPERWORKS INDUSTRIES,2023-11-13 00:00:00,0
Papier-Mettler,2023-11-13 00:00:00,0
PAUL PAULET,2023-11-13 00:00:00,1
PEPSICO,2023-11-13 00:00:00,0
PHILIPS,2023-11-13 00:00:00,38
PILGRIMS PRIDE CORP,2023-11-13 00:00:00,5
POKON NATURADO B.V.,2023-11-13 00:00:00,0
PROCTER & GAMBLE,2023-11-13 00:00:00,222
RECKITT BENCKISER IN,2023-11-13 00:00:00,70
RÉMY COINTREAU,2023-11-13 00:00:00,6
RENAULT,2023-11-13 00:00:00,0
RKW,2023-11-13 00:00:00,0
RKW France Castelletta,2023-11-13 00:00:00,0
ROBERTS MART & CO LTD,2023-11-13 00:00:00,0
ROYAL CANIN,2023-11-13 00:00:00,0
SAICA PACK,2023-11-13 00:00:00,66
SCA HEALTHCARE,2023-11-13 00:00:00,1
SIGNIFY,2023-11-13 00:00:00,106
SIVA PLASTICS,2023-11-13 00:00:00,0
SKYMARK SCUNTHORPE,2023-11-13 00:00:00,0
SMURFIT,2023-11-13 00:00:00,17
ST. JOHN PACKAGING UK LTD.,2023-11-13 00:00:00,2
STARBUCKS COFFEE CO,2023-11-13 00:00:00,3
STEMPHER BV,2023-11-13 00:00:00,0
SYNPAC LIMITED,2023-11-13 00:00:00,0
TAKEDA EU,2023-11-13 00:00:00,29
TETRA PAK,2023-11-13 00:00:00,116
Tevalis Limited,2023-11-13 00:00:00,0
TRANSCONTINENTAL INC.,2023-11-13 00:00:00,0
UFLEX LIMITED,2023-11-13 00:00:00,0
ULTIMATE PACKAGING LTD,2023-11-13 00:00:00,0
UNILEVER,2023-11-13 00:00:00,7
WAITROSE LIMITED,2023-11-13 00:00:00,16
WELL,2023-11-13 00:00:00,0
WM MORRISON SUPERMARKETS PLC,2023-11-13 00:00:00,7
2 SISTERS FOOD GROUP,2023-11-06 00:00:00,0
3M,2023-11-06 00:00:00,3
AIMIA FOODS LTD,2023-11-06 00:00:00,1
ALLIED BAKERIES,2023-11-06 00:00:00,20
AMCOR,2023-11-06 00:00:00,33
ARROW FILM CONVERTORS LTD,2023-11-06 00:00:00,0
ASPLA,2023-11-06 00:00:00,0
ASTRA ZENECA,2023-11-06 00:00:00,48
ATTINDAS,2023-11-06 00:00:00,0
BEIERSDORF INCORPORATED,2023-11-06 00:00:00,93
BEMIS ELSHAM LTD,2023-11-06 00:00:00,1
BISCHOF & KLEIN,2023-11-06 00:00:00,2
BORAN MOPACK,2023-11-06 00:00:00,0
BORAN PLASTIC PACKAGING LTD,2023-11-06 00:00:00,0
BRAYFORD PLASTICS LTD,2023-11-06 00:00:00,0
BRITISH POLYTHENE IND PLC,2023-11-06 00:00:00,1
CARAMBAR & CO SAS,2023-11-06 00:00:00,8
COCA COLA,2023-11-06 00:00:00,184
Covis Pharma GmbH,2023-11-06 00:00:00,4
DANONE,2023-11-06 00:00:00,42
DS SMITH,2023-11-06 00:00:00,0
ELIF PLASTIK AMBALAJ SANAYI,2023-11-06 00:00:00,0
EMERGENT,2023-11-06 00:00:00,1
EMSUR MADRID,2023-11-06 00:00:00,0
EUGENE PERMA,2023-11-06 00:00:00,0
EUROFLEX,2023-11-06 00:00:00,0
Euroscatola,2023-11-06 00:00:00,0
EVERGREEN,2023-11-06 00:00:00,19
EVERRIS LIMITED,2023-11-06 00:00:00,1
EYEVANCE PHARMACEUTICALS,2023-11-06 00:00:00,0
FLEXOPLAST,2023-11-06 00:00:00,0
FOUR04 PACKAGING LTD,2023-11-06 00:00:00,1
FRANPRIX,2023-11-06 00:00:00,0
FRIGEMO,2023-11-06 00:00:00,0
Froneri,2023-11-06 00:00:00,8
GBFOODS,2023-11-06 00:00:00,23
GLACES THIRIET,2023-11-06 00:00:00,4
GREEN ISLE FOODS,2023-11-06 00:00:00,0
HALEON,2023-11-06 00:00:00,145
Herta,2023-11-06 00:00:00,0
HEWLETT PACKARD,2023-11-06 00:00:00,0
Horizon Pharma Ireland Ltd,2023-11-06 00:00:00,3
HOVIS LTD,2023-11-06 00:00:00,1
INTERFLEX GROUP INC,2023-11-06 00:00:00,0
IRISH FLEXIBLE PACKAGING LTD,2023-11-06 00:00:00,0
JDE,2023-11-06 00:00:00,37
KELLOGG COMPANY,2023-11-06 00:00:00,15
KERRY INC,2023-11-06 00:00:00,24
KIBAR GROUP,2023-11-06 00:00:00,0
LACTALIS,2023-11-06 00:00:00,2
LOREAL,2023-11-06 00:00:00,0
LVMH,2023-11-06 00:00:00,34
MACKLE PET FOODS,2023-11-06 00:00:00,0
"MARS, INC.",2023-11-06 00:00:00,261
MAZDA,2023-11-06 00:00:00,1
MCCAIN FOODS,2023-11-06 00:00:00,6
MERCADONA,2023-11-06 00:00:00,1
MILLER/COORS,2023-11-06 00:00:00,5
"ModernaTX, Inc.",2023-11-06 00:00:00,17
MONDELEZ,2023-11-06 00:00:00,132
MONDI PACKAGING,2023-11-06 00:00:00,0
MOUSLINE,2023-11-06 00:00:00,0
NATIONAL PKG CORPORATION LTD,2023-11-06 00:00:00,1
NESTLE,2023-11-06 00:00:00,125
NISSAN,2023-11-06 00:00:00,0
ORKLA,2023-11-06 00:00:00,50
PAPERWORKS INDUSTRIES,2023-11-06 00:00:00,0
Papier-Mettler,2023-11-06 00:00:00,0
PAUL PAULET,2023-11-06 00:00:00,1
PEPSICO,2023-11-06 00:00:00,0
PHILIPS,2023-11-06 00:00:00,52
PILGRIMS PRIDE CORP,2023-11-06 00:00:00,5
POKON NATURADO B.V.,2023-11-06 00:00:00,0
PROCTER & GAMBLE,2023-11-06 00:00:00,141
RECKITT BENCKISER IN,2023-11-06 00:00:00,62
RÉMY COINTREAU,2023-11-06 00:00:00,7
RENAULT,2023-11-06 00:00:00,0
RKW,2023-11-06 00:00:00,0
RKW France Castelletta,2023-11-06 00:00:00,0
ROBERTS MART & CO LTD,2023-11-06 00:00:00,0
ROYAL CANIN,2023-11-06 00:00:00,1
SAICA PACK,2023-11-06 00:00:00,43
SCA HEALTHCARE,2023-11-06 00:00:00,0
SIGNIFY,2023-11-06 00:00:00,71
SIVA PLASTICS,2023-11-06 00:00:00,2
SKYMARK SCUNTHORPE,2023-11-06 00:00:00,0
SMURFIT,2023-11-06 00:00:00,4
ST. JOHN PACKAGING UK LTD.,2023-11-06 00:00:00,2
STARBUCKS COFFEE CO,2023-11-06 00:00:00,22
STEMPHER BV,2023-11-06 00:00:00,0
SYNPAC LIMITED,2023-11-06 00:00:00,0
TAKEDA EU,2023-11-06 00:00:00,18
TETRA PAK,2023-11-06 00:00:00,69
Tevalis Limited,2023-11-06 00:00:00,0
TRANSCONTINENTAL INC.,2023-11-06 00:00:00,0
UFLEX LIMITED,2023-11-06 00:00:00,0
ULTIMATE PACKAGING LTD,2023-11-06 00:00:00,0
UNILEVER,2023-11-06 00:00:00,39
WAITROSE LIMITED,2023-11-06 00:00:00,14
WELL,2023-11-06 00:00:00,27
WM MORRISON SUPERMARKETS PLC,2023-11-06 00:00:00,10
2 SISTERS FOOD GROUP,2023-10-30 00:00:00,0
3M,2023-10-30 00:00:00,4
AIMIA FOODS LTD,2023-10-30 00:00:00,1
ALLIED BAKERIES,2023-10-30 00:00:00,13
AMCOR,2023-10-30 00:00:00,41
ARROW FILM CONVERTORS LTD,2023-10-30 00:00:00,1
ASPLA,2023-10-30 00:00:00,0
ASTRA ZENECA,2023-10-30 00:00:00,57
ATTINDAS,2023-10-30 00:00:00,0
BEIERSDORF INCORPORATED,2023-10-30 00:00:00,59
BEMIS ELSHAM LTD,2023-10-30 00:00:00,4
BISCHOF & KLEIN,2023-10-30 00:00:00,0
BORAN MOPACK,2023-10-30 00:00:00,0
BORAN PLASTIC PACKAGING LTD,2023-10-30 00:00:00,0
BRAYFORD PLASTICS LTD,2023-10-30 00:00:00,0
BRITISH POLYTHENE IND PLC,2023-10-30 00:00:00,8
CARAMBAR & CO SAS,2023-10-30 00:00:00,2
COCA COLA,2023-10-30 00:00:00,141
Covis Pharma GmbH,2023-10-30 00:00:00,5
DANONE,2023-10-30 00:00:00,37
DS SMITH,2023-10-30 00:00:00,0
ELIF PLASTIK AMBALAJ SANAYI,2023-10-30 00:00:00,0
EMERGENT,2023-10-30 00:00:00,4
EMSUR MADRID,2023-10-30 00:00:00,0
EUGENE PERMA,2023-10-30 00:00:00,0
EUROFLEX,2023-10-30 00:00:00,0
Euroscatola,2023-10-30 00:00:00,0
EVERGREEN,2023-10-30 00:00:00,10
EVERRIS LIMITED,2023-10-30 00:00:00,0
EYEVANCE PHARMACEUTICALS,2023-10-30 00:00:00,0
FLEXOPLAST,2023-10-30 00:00:00,0
